date,callsource,nature,street
12/1/2023,SELF,TRAFFIC STOP,E US 90A
12/1/2023,SELF,TRAFFIC STOP,W AIRPORT BLVD
12/1/2023,PHONE,ALARM BURGLAR,S SH 6
12/1/2023,PHONE,ACCIDENT MAJOR,S SH 6
12/1/2023,PHONE,MINOR ACCIDENT,S SH 6/S SOUTHWEST FWY
12/1/2023,PHONE,SUSPICIOUS CIRC PERSON VEHICLE,STADIUM DR
12/1/2023,PHONE,ALARM BURGLAR,S SH 6
12/1/2023,PHONE,DEATH INVESTIGATION,VILLAGE LIVING CT
12/1/2023,PHONE,ALARM BURGLAR,MORNING SHADOWS DR
12/1/2023,E911,911 HANG UP,E US 90A
12/1/2023,PHONE,ALARM BURGLAR,E US 90A
12/1/2023,PHONE,MINOR ACCIDENT,FOREST BEND/AZALEA BND
12/1/2023,PHONE,TRAFFIC HAZ PROB DIRECT RELAT,LEXINGTON BLVD
12/1/2023,PHONE,MINOR ACCIDENT,N SOUTHWEST FWY/RIVERBROOK DR
12/1/2023,PHONE,SUSPICIOUS CIRC PERSON VEHICLE,TUSCANY PLACE DR
12/1/2023,PHONE,PRISONER PROCESS,S SH 6
12/1/2023,SELF,TRAFFIC STOP,JESS PIRTLE BLVD
12/1/2023,SELF,DISABLED VEHICLE,W US 90A
12/1/2023,SELF,TRAFFIC STOP,S SOUTHWEST FWY
12/1/2023,SELF,TRAFFIC STOP,E US 90A
12/1/2023,PHONE,ALARM BURGLAR,N SH 6
12/1/2023,SELF,TRAFFIC STOP,N US 59
12/1/2023,PHONE,ALARM BURGLAR,NEW TERRITORY BLVD
12/1/2023,SELF,TRAFFIC STOP,BROOKS ST
12/1/2023,SELF,TRAFFIC STOP,CENTURY SQUARE BLVD
12/1/2023,SELF,TRAFFIC STOP,S US 59 OFF RAMP
12/1/2023,W911,ACCIDENT MAJOR,ELDRIDGE RD
12/1/2023,PHONE,FRAUD,UNIVERSITY BLVD
12/1/2023,SELF,TRAFFIC STOP,E US 90A
12/1/2023,W911,911 HANG UP,E US 90A/SAVOY ST
12/1/2023,SELF,TRAFFIC STOP,N US 59
12/1/2023,PHONE,MINOR ACCIDENT,WILLIAMS TRACE BLVD/EDGEWATER DR
12/1/2023,SELF,TRAFFIC STOP,S US 59
12/1/2023,SELF,TRAFFIC STOP,N SOUTHWEST FWY
12/1/2023,SELF,TRAFFIC STOP,SANSBURY BLVD
12/1/2023,PHONE,VIOLATION CITY ORDINANCE,E US 90A
12/1/2023,SELF,FLAGDOWN,W BELLFORT AVE/BARRINGTON PLACE DR
12/1/2023,PHONE,PROPERTY LOST RECOVERED,THE HIGHLANDS DR
12/1/2023,PHONE,SUSPICIOUS CIRC PERSON VEHICLE,BURNEY RD
12/1/2023,PHONE,911 HANG UP,WILKINS CROSSING
12/1/2023,SELF,TRAFFIC STOP,FOREST WOODS/GREATWOOD PKWY
12/1/2023,PHONE,MENTAL HEALTH CONCERN,N SOUTHWEST FWY
12/1/2023,PHONE,TRESPASS,N SOUTHWEST FWY
12/1/2023,SELF,TRAFFIC STOP,FIRST COLONY BLVD
12/1/2023,SELF,TRAFFIC STOP,FIRST COLONY BLVD
12/1/2023,SELF,TRAFFIC STOP,UNIVERSITY BLVD
12/1/2023,PHONE,DISABLED VEHICLE,N SOUTHWEST FWY/UNIVERSITY BLVD
12/1/2023,SELF,TRAFFIC STOP,N SH 6
12/1/2023,PHONE,FRAUD,BROOKVIEW DR
12/1/2023,SELF,TRAFFIC STOP,TABORWOOD AVE
12/1/2023,SELF,TRAFFIC STOP,UNIVERSITY BLVD
12/1/2023,SELF,TRAFFIC STOP,KENTSHIRE AVE
12/1/2023,PHONE,BURGLARY,SANTA MARIA
12/1/2023,PHONE,CIVIL PROBLEM STANDBY,S SOUTHWEST FWY
12/1/2023,SELF,TRAFFIC STOP,N SOUTHWEST FWY
12/1/2023,PHONE,WELFARE CONCERN,S US 59
12/1/2023,PHONE,SEXUAL ASSAULT,SUMMERFIELD PL
12/1/2023,PHONE,PRISONER PROCESS,S SH 6
12/1/2023,SELF,TRAFFIC STOP,WESCOTT AVE/PRESTWICK AVE
12/1/2023,PHONE,MINOR ACCIDENT,UNIVERSITY BLVD/N SOUTHWEST FWY
12/1/2023,SELF,TRAFFIC STOP,N SH 6/SETTLERS WAY BLVD
12/1/2023,SELF,TRAFFIC STOP,WESCOTT AVE/PRESTWICK AVE
12/1/2023,SELF,SUSPICIOUS CIRC PERSON VEHICLE,UNIVERSITY BLVD
12/1/2023,SELF,TRAFFIC STOP,SETTLERS WAY BLVD
12/1/2023,SELF,TRAFFIC STOP,UNIVERSITY BLVD
12/1/2023,SELF,TRAFFIC STOP,WESCOTT AVE/PRESTWICK AVE
12/1/2023,SELF,TRAFFIC STOP,SETTLERS WAY BLVD
12/1/2023,SELF,TRAFFIC STOP,NEW TERRITORY BLVD
12/1/2023,SELF,TRAFFIC STOP,W AIRPORT BLVD
12/1/2023,SELF,TRAFFIC STOP,WESCOTT AVE/PRESTWICK AVE
12/1/2023,SELF,TRAFFIC STOP,W AIRPORT BLVD
12/1/2023,PHONE,SUSPICIOUS CIRC PERSON VEHICLE,VAUGHN CREEK CT/ANNIE`S WAY
12/1/2023,PHONE,MINOR ACCIDENT,S SOUTHWEST FWY/N SH 6
12/1/2023,SELF,TRAFFIC STOP,S SOUTHWEST FWY
12/1/2023,PHONE,MINOR ACCIDENT,DAIRY ASHFORD RD/JULIE RIVERS DR
12/1/2023,PHONE,SUSPICIOUS CIRC PERSON VEHICLE,GRANTS LAKE BLVD/PABLO PICASSO DR
12/1/2023,PHONE,BURGLARY,S SOUTHWEST FWY
12/1/2023,SELF,TRAFFIC STOP,NEW TERRITORY BLVD
12/1/2023,SELF,TRAFFIC STOP,NEW TERRITORY BLVD
12/1/2023,SELF,DISABLED VEHICLE,S SOUTHWEST FWY
12/1/2023,SELF,TRAFFIC STOP,FIRST COLONY BLVD
12/1/2023,PHONE,TRAFFIC HAZ PROB DIRECT RELAT,THUNDER LAKE LN
12/1/2023,SELF,ASSIST BY LAW,N SOUTHWEST FWY/N CRABB RIVER RD
12/1/2023,SELF,TRAFFIC STOP,FM 1464
12/1/2023,PHONE,DEATH INVESTIGATION,N SOUTHWEST FWY
12/1/2023,PHONE,TRAFFIC HAZ PROB DIRECT RELAT,ELDRIDGE RD/FLORENCE RD
12/1/2023,SELF,TRAFFIC STOP,FIRST COLONY BLVD
12/1/2023,SELF,PARKING VIOLATION,
12/1/2023,SELF,TRAFFIC STOP,WESCOTT AVE
12/1/2023,PHONE,ALARM BURGLAR,COLEY PARK
12/1/2023,W911,911 HANG UP,N TOWN CENTER BLVD
12/1/2023,SELF,TRAFFIC STOP,WESCOTT AVE
12/1/2023,SELF,TRAFFIC STOP,NEW TERRITORY BLVD/HEATHERTON WAY
12/1/2023,PHONE,VIOLATION CITY ORDINANCE,PINE SHADOWS DR
12/1/2023,PHONE,TRAFFIC HAZ PROB DIRECT RELAT,N SH 6/BROOKS ST
12/1/2023,SELF,TRAFFIC STOP,WESCOTT AVE
12/1/2023,SELF,FOLLOW UP,N SH 6
12/1/2023,W911,911 HANG UP,E US 90A
12/1/2023,PHONE,MINOR ACCIDENT,N SOUTHWEST FWY/SWEETWATER BLVD
12/1/2023,SELF,TRAFFIC STOP,WESCOTT AVE
12/1/2023,SELF,TRAFFIC STOP,NEW TERRITORY BLVD/HEATHERTON WAY
12/1/2023,SELF,PARKING VIOLATION,N SH 6
12/1/2023,W911,911 HANG UP,BRAESMEADOW LN
12/1/2023,W911,MINOR ACCIDENT,CRABB RIVER RD
12/1/2023,SELF,TRAFFIC STOP,W US 90A
12/1/2023,SELF,TRAFFIC STOP,E US 90A
12/1/2023,SELF,TRAFFIC STOP,GREATWOOD PKWY
12/1/2023,W911,911 HANG UP,ELKINS RD
12/1/2023,PHONE,DISABLED VEHICLE,S US 59
12/1/2023,SELF,TRAFFIC STOP,FIRST COLONY BLVD
12/1/2023,PHONE,ALARM BURGLAR,ORKNEY ISLE CT
12/1/2023,PHONE,THEFT,E US 90A
12/1/2023,W911,ASSAULT,DULLES AVE
12/1/2023,PHONE,PARKING VIOLATION,ELKINS RD/OAKLAND DR
12/1/2023,PHONE,MINOR ACCIDENT,E US 90A/S SH 6 FRONTAGE RD
12/1/2023,SELF,TRAFFIC STOP,S SH 6
12/1/2023,SELF,TRAFFIC STOP,ELDRIDGE RD
12/1/2023,PHONE,DEATH INVESTIGATION,FAWNBRAKE DR
12/1/2023,PHONE,MENTAL HEALTH CONCERN,LAKE POINTE PKWY
12/1/2023,PHONE,DISTURBANCE,TEXAS DR
12/1/2023,SELF,TRAFFIC STOP,LAKESIDE PLAZA DR
12/1/2023,PHONE,DISABLED VEHICLE,N SOUTHWEST FWY
12/1/2023,PHONE,HARASSMENT,LEXINGTON BLVD
12/1/2023,PHONE,FOLLOW UP,UNIVERSITY BLVD
12/1/2023,W911,TRAFFIC HAZ PROB DIRECT RELAT,S US 59
12/1/2023,SELF,TRAFFIC STOP,SEVENTH ST
12/1/2023,PHONE,MINOR ACCIDENT,N SOUTHWEST FWY
12/1/2023,PHONE,MENTAL HEALTH CONCERN,N SH 6
12/1/2023,W911,RECKLESS DRIVER CONDUCT,N SH 6
12/1/2023,W911,RECKLESS DRIVER CONDUCT,N US 59
12/1/2023,PHONE,BURGLARY,N SOUTHWEST FWY
12/1/2023,PHONE,ALARM BURGLAR,POINTE LOMA DR
12/1/2023,PHONE,ALARM BURGLAR,THUNDER LAKE LN
12/1/2023,PHONE,RECKLESS DRIVER CONDUCT,N SOUTHWEST FWY/SUGAR CREEK BLVD
12/1/2023,PHONE,THEFT,N SH 6
12/1/2023,SELF,FLAGDOWN,WILLIAMS TRACE BLVD
12/1/2023,W911,SUSPICIOUS CIRC PERSON VEHICLE,LONE STAR DR
12/1/2023,PHONE,THEFT,DRAKEWOOD DR
12/1/2023,E911,911 HANG UP,E US 90A
12/1/2023,PHONE,ALARM BURGLAR,ROSEDALE PATH CT
12/1/2023,PHONE,MINOR ACCIDENT,SETTLERS WAY BLVD/N SH 6
12/1/2023,PHONE,THEFT,S SOUTHWEST FWY
12/1/2023,PHONE,911 HANG UP,S SOUTHWEST FWY
12/1/2023,W911,DISABLED VEHICLE,S US 59
12/1/2023,PHONE,WELFARE CONCERN,N GRAND PKWY/NEW TERRITORY BLVD
12/1/2023,PHONE,HARASSMENT,NEW TERRITORY BLVD
12/1/2023,PHONE,ASSIST BY LAW,TOWN SQUARE PL/CITY WALK
12/1/2023,PHONE,SUSPICIOUS CIRC PERSON VEHICLE,S SOUTHWEST FWY/SWEETWATER BLVD
12/1/2023,W911,TRAFFIC HAZ PROB DIRECT RELAT,S US 59
12/1/2023,PHONE,MINOR ACCIDENT,S US 59
12/1/2023,W911,MINOR ACCIDENT,W AIRPORT BLVD/BURNEY RD
12/1/2023,PHONE,SUSPICIOUS CIRC PERSON VEHICLE,DURHAM LN
12/1/2023,PHONE,MINOR ACCIDENT,E US 90A/S SH 6 FRONTAGE RD
12/1/2023,PHONE,BURGLARY,BERKSHIRE RIDGE DR
12/1/2023,PHONE,DISTURBANCE,BREEZY POINT LN
12/1/2023,PHONE,ASSIST CITIZEN,HARVEST BEND CT
12/1/2023,W911,RECKLESS DRIVER CONDUCT,S US 59
12/1/2023,PHONE,TRAFFIC HAZ PROB DIRECT RELAT,SETTLERS WAY BLVD/S SH 6
12/1/2023,W911,MINOR ACCIDENT,LAKE POINTE PKWY/S SOUTHWEST FWY
12/1/2023,PHONE,911 HANG UP,TALCOTT LN
12/1/2023,PHONE,MINOR ACCIDENT,N TOWN CENTER BLVD
12/1/2023,PHONE,FOLLOW UP,S SH 6
12/1/2023,W911,MINOR ACCIDENT,N SH 6
12/1/2023,PHONE,911 HANG UP,HIGH MEADOWS DR
12/1/2023,E911,911 HANG UP,S SH 6
12/1/2023,PHONE,ALARM BURGLAR,JULIE RIVERS DR
12/1/2023,SELF,PRISONER PROCESS,S SH 6
12/1/2023,W911,MINOR ACCIDENT,WILLIAMS TRACE BLVD/S SH 6
12/1/2023,W911,911 HANG UP,CITY WALK
12/1/2023,SELF,DISTURBANCE,BURNEY RD/W AIRPORT BLVD
12/1/2023,PHONE,911 HANG UP,WILLIAMS GRANT ST
12/1/2023,SELF,MINOR ACCIDENT,N SH 6/TOWN CENTER DR
12/1/2023,PHONE,ASSAULT,N SOUTHWEST FWY
12/1/2023,PHONE,THEFT,N SOUTHWEST FWY
12/1/2023,PHONE,RECKLESS DRIVER CONDUCT,SETTLERS WAY BLVD/LEXINGTON BLVD
12/1/2023,SELF,TRAFFIC STOP,N SOUTHWEST FWY/S SH 6
12/1/2023,PHONE,THEFT,N SH 6
12/1/2023,E911,911 HANG UP,E US 90A
12/1/2023,PHONE,ASSIST CITIZEN,S SOUTHWEST FWY
12/1/2023,PHONE,ALARM BURGLAR,DAIRY ASHFORD RD
12/1/2023,PHONE,SUSPICIOUS CIRC PERSON VEHICLE,N SH 6
12/1/2023,W911,ASSIST BY LAW,CITY WALK
12/1/2023,SELF,TRAFFIC STOP,NEW TERRITORY BLVD
12/1/2023,PHONE,MINOR ACCIDENT,WILLIAMS TRACE BLVD/S SH 6
12/1/2023,SELF,TRAFFIC STOP,S SH 6
12/1/2023,SELF,TRAFFIC STOP,S SH 6 FRONTAGE RD
12/1/2023,SELF,TRAFFIC STOP,S SH 6
12/1/2023,SELF,TRAFFIC STOP,N SOUTHWEST FWY
12/1/2023,SELF,TRAFFIC STOP,UNIVERSITY BLVD
12/1/2023,PHONE,DISTURBANCE,SALISBURY
12/1/2023,SELF,TRAFFIC STOP,S SH 6
12/1/2023,SELF,TRAFFIC STOP,S SH 6
12/1/2023,SELF,TRAFFIC STOP,SWEETWATER BLVD
12/1/2023,SELF,TRAFFIC STOP,N GRAND PKWY
12/1/2023,PHONE,VEHICLE FIRE,N US 59
12/1/2023,PHONE,911 HANG UP,S SOUTHWEST FWY
12/1/2023,SELF,TRAFFIC STOP,S SH 6
12/1/2023,SELF,TRAFFIC STOP,S SH 6
12/1/2023,PHONE,SUSPICIOUS CIRC PERSON VEHICLE,MILL DALE CT
12/1/2023,SELF,TRAFFIC STOP,S SOUTHWEST FWY
12/1/2023,PHONE,LOUD MUSIC NOISE,ISSACKS WAY
12/1/2023,SELF,TRAFFIC STOP,S SH 6
12/1/2023,SELF,TRAFFIC STOP,N SH 6
12/1/2023,SELF,TRAFFIC STOP,N SH 6
12/1/2023,SELF,TRAFFIC STOP,N SH 6
12/1/2023,PHONE,DISTURBANCE,SHADY LN
12/1/2023,SELF,TRAFFIC STOP,N SOUTHWEST FWY
12/1/2023,SELF,TRAFFIC STOP,S SH 6
12/1/2023,PHONE,SUSPICIOUS CIRC PERSON VEHICLE,HIGHLAND HILLS DR
12/1/2023,SELF,TRAFFIC STOP,N SH 6
12/1/2023,SELF,ASSIST BY LAW,N SH 6/DULLES AVE
12/1/2023,W911,911 HANG UP,S SH 6
12/1/2023,SELF,TRAFFIC STOP,S SH 6
12/1/2023,SELF,TRAFFIC STOP,N SH 6
12/1/2023,PHONE,ALARM BURGLAR,N SOUTHWEST FWY
12/1/2023,SELF,TRAFFIC STOP,N SH 6
12/1/2023,SELF,TRAFFIC STOP,N US 59
12/1/2023,SELF,TRAFFIC STOP,S SH 6
12/1/2023,PHONE,MENTAL HEALTH CONCERN,CALLEY PATH
12/1/2023,SELF,TRAFFIC STOP,S SH 6
12/1/2023,SELF,TRAFFIC STOP,DULLES AVE
12/1/2023,SELF,TRAFFIC STOP,S US 59
12/1/2023,SELF,TRAFFIC STOP,N SH 6
12/2/2023,PHONE,ALARM BURGLAR,E US 90A
12/2/2023,SELF,TRAFFIC STOP,S SOUTHWEST FWY
12/2/2023,SELF,TRAFFIC STOP,W AIRPORT BLVD
12/2/2023,SELF,VIOLATION CITY ORDINANCE,N SH 6
12/2/2023,SELF,TRAFFIC STOP,N US 59
12/2/2023,PHONE,ALARM BURGLAR,S SH 6
12/2/2023,SELF,TRAFFIC STOP,W US 90A
12/2/2023,SELF,TRAFFIC STOP,CENTURY SQUARE BLVD
12/2/2023,W911,DISTURBANCE,WILLIAMS GLEN DR
12/2/2023,SELF,TRAFFIC STOP,N SH 6
12/2/2023,PHONE,MENTAL HEALTH CONCERN,SQUIRE DOBBINS DR
12/2/2023,W911,ASSIST BY LAW,NEW TERRITORY BLVD
12/2/2023,SELF,TRAFFIC STOP,VOSS RD
12/2/2023,SELF,TRAFFIC STOP,S SH 6
12/2/2023,SELF,PRISONER PROCESS,S SH 6
12/2/2023,SELF,VIOLATION CITY ORDINANCE,UNIVERSITY BLVD
12/2/2023,SELF,TRAFFIC STOP,SWEETWATER BLVD
12/2/2023,PHONE,ALARM BURGLAR,ARCHER MEADOW LN
12/2/2023,SELF,TRAFFIC STOP,N SH 6
12/2/2023,SELF,TRAFFIC STOP,JIM DAVIDSON DR
12/2/2023,SELF,WELFARE CONCERN,N SH 6 FRONTAGE RD/E US 90A
12/2/2023,PHONE,MINOR ACCIDENT,UNIVERSITY BLVD/S SOUTHWEST FWY
12/2/2023,PHONE,CIVIL PROBLEM STANDBY,BREEZY POINT LN
12/2/2023,SELF,PRISONER PROCESS,S SH 6
12/2/2023,PHONE,911 HANG UP,AUSTIN MEADOW DR
12/2/2023,PHONE,MINOR ACCIDENT,CORPORATE DR/JULIE RIVERS DR
12/2/2023,SELF,TRAFFIC STOP,S SH 6
12/2/2023,SELF,TRAFFIC STOP,N SH 6
12/2/2023,SELF,TRAFFIC STOP,LEXINGTON BLVD
12/2/2023,PHONE,ASSIST CITIZEN,N SH 6
12/2/2023,W911,911 HANG UP,E US 90A
12/2/2023,SELF,SUSPICIOUS CIRC PERSON VEHICLE,EDGEWATER DR
12/2/2023,PHONE,WELFARE CONCERN,MUIRWOOD LN
12/2/2023,PHONE,ALARM BURGLAR,S SH 6
12/2/2023,PHONE,SUSPICIOUS CIRC PERSON VEHICLE,S SOUTHWEST FWY
12/2/2023,PHONE,911 HANG UP,COMMERCE GREEN BLVD
12/2/2023,PHONE,PRISONER PROCESS,S SH 6
12/2/2023,PHONE,THEFT,PINECROFT DR
12/2/2023,PHONE,WELFARE CONCERN,N SOUTHWEST FWY
12/2/2023,SELF,TRAFFIC STOP,S US 59
12/2/2023,SELF,TRAFFIC STOP,S US 59
12/2/2023,SELF,TRAFFIC STOP,W AIRPORT BLVD
12/2/2023,SELF,TRAFFIC STOP,E US 90A
12/2/2023,SELF,TRAFFIC STOP,N SH 6 FRONTAGE RD
12/2/2023,SELF,TRAFFIC STOP,S SOUTHWEST FWY
12/2/2023,PHONE,ASSAULT,HARVEST BEND CT
12/2/2023,PHONE,TRAFFIC HAZ PROB DIRECT RELAT,WOODCHESTER DR
12/2/2023,PHONE,TRAFFIC HAZ PROB DIRECT RELAT,N US 59
12/2/2023,PHONE,ALARM BURGLAR,HICKORY HILL CT
12/2/2023,SELF,TRAFFIC STOP,N US 59
12/2/2023,PHONE,ALARM BURGLAR,LEXINGTON BLVD
12/2/2023,PHONE,PROPERTY LOST RECOVERED,MOON SHADOW CT
12/2/2023,PHONE,ASSIST BY LAW,N SOUTHWEST FWY
12/2/2023,PHONE,MENTAL HEALTH CONCERN,S SOUTHWEST FWY
12/2/2023,PHONE,MINOR ACCIDENT,N GRAND PKWY/S SOUTHWEST FWY
12/2/2023,PHONE,MINOR ACCIDENT,S SH 6/AUSTIN PKWY
12/2/2023,SELF,TRAFFIC STOP,FIRST COLONY BLVD
12/2/2023,SELF,TRAFFIC STOP,CHATHAM AVE
12/2/2023,PHONE,911 HANG UP,TOWN SQUARE PL
12/2/2023,SELF,TRAFFIC STOP,CHATHAM AVE
12/2/2023,PHONE,TRAFFIC HAZ PROB DIRECT RELAT,THUNDER LAKE LN
12/2/2023,SELF,TRAFFIC STOP,S US 59
12/2/2023,SELF,TRAFFIC STOP,LEXINGTON BLVD
12/2/2023,PHONE,ASSIST CITIZEN,WATERWOOD DR
12/2/2023,SELF,TRAFFIC STOP,HOMEWARD WAY
12/2/2023,SELF,TRAFFIC STOP,S SOUTHWEST FWY
12/2/2023,PHONE,PROPERTY LOST RECOVERED,S SH 6
12/2/2023,PHONE,VIOLATION CITY ORDINANCE,N SOUTHWEST FWY
12/2/2023,PHONE,MENTAL HEALTH CONCERN,MATLAGE WAY
12/2/2023,PHONE,ALARM BURGLAR,GOODLOWE PK
12/2/2023,W911,ASSIST CITIZEN,SETTLERS WAY BLVD
12/2/2023,SELF,TRAFFIC STOP,FIRST COLONY BLVD/S SOUTHWEST FWY
12/2/2023,PHONE,WELFARE CONCERN,SHADY LN
12/2/2023,SELF,MINOR ACCIDENT,FIRST COLONY BLVD
12/2/2023,PHONE,ASSIST BY LAW,WIND TRACE CV
12/2/2023,PHONE,DISABLED VEHICLE,N SH 6
12/2/2023,PHONE,WARRANT SERVICE,
12/2/2023,SELF,DISABLED VEHICLE,OAKLAND DR
12/2/2023,SELF,MENTAL HEALTH CONCERN,S SOUTHWEST FWY
12/2/2023,PHONE,ALARM PANIC,BRIDGE HAMPTON WAY
12/2/2023,PHONE,ALARM BURGLAR,LONG LEAF DR
12/2/2023,W911,CARDIAC OR RESPIRATORY ARREST,LAKEBEND DR
12/2/2023,SELF,TRAFFIC STOP,W AIRPORT BLVD
12/2/2023,SELF,ASSIST CITIZEN,N SH 6 FRONTAGE RD
12/2/2023,SELF,VIOLATION CITY ORDINANCE,SWEETWATER BLVD
12/2/2023,W911,DISABLED VEHICLE,N US 59
12/2/2023,SELF,TRAFFIC STOP,W AIRPORT BLVD
12/2/2023,PHONE,DISABLED VEHICLE,S SOUTHWEST FWY/N GRAND PKWY
12/2/2023,W911,RECKLESS DRIVER CONDUCT,S SH 6
12/2/2023,SELF,TRAFFIC STOP,N SH 6
12/2/2023,SELF,TRAFFIC STOP,W AIRPORT BLVD
12/2/2023,SELF,TRAFFIC STOP,SUDDEN VALLEY LN
12/2/2023,SELF,TRAFFIC STOP,N US 59
12/2/2023,SELF,TRAFFIC STOP,NEW TERRITORY BLVD
12/2/2023,SELF,TRAFFIC STOP,NEW TERRITORY BLVD
12/2/2023,PHONE,911 HANG UP,N SOUTHWEST FWY
12/2/2023,PHONE,FOLLOW UP,N SOUTHWEST FWY
12/2/2023,SELF,TRAFFIC STOP,S SH 6
12/2/2023,SELF,TRAFFIC STOP,N SOUTHWEST FWY
12/2/2023,PHONE,ASSIST CITIZEN,WOODSTREAM BLVD
12/2/2023,PHONE,911 HANG UP,E US 90A
12/2/2023,SELF,TRAFFIC STOP,SETTLERS WAY BLVD
12/2/2023,SELF,TRAFFIC STOP,S SH 6
12/2/2023,SELF,TRAFFIC STOP,E US 90A
12/2/2023,SELF,TRAFFIC STOP,N SH 6
12/2/2023,SELF,TRAFFIC STOP,N GRAND PKWY
12/2/2023,PHONE,WELFARE CONCERN,PALM ROYALE BLVD/TRAVIS PARK DR
12/2/2023,SELF,DISTURBANCE,UNIVERSITY BLVD
12/2/2023,SELF,TRAFFIC STOP,FIRST COLONY BLVD
12/2/2023,SELF,TRAFFIC STOP,WESCOTT AVE
12/2/2023,SELF,TRAFFIC STOP,S SH 6
12/2/2023,PHONE,MINOR ACCIDENT,SANSBURY BLVD/N CRABB RIVER RD
12/2/2023,SELF,TRAFFIC STOP,N SOUTHWEST FWY
12/2/2023,PHONE,DISTURBANCE,CARYA CIR
12/2/2023,SELF,TRAFFIC STOP,DULLES AVE
12/2/2023,SELF,TRAFFIC STOP,ELDRIDGE RD
12/2/2023,PHONE,DISTURBANCE,N BLUE MEADOW CIR
12/2/2023,SELF,TRAFFIC STOP,W AIRPORT BLVD
12/2/2023,PHONE,ASSIST CITIZEN,S SH 6
12/2/2023,SELF,TRAFFIC STOP,S SH 6
12/2/2023,SELF,TRAFFIC STOP,E US 90A
12/2/2023,SELF,TRAFFIC STOP,W AIRPORT BLVD
12/2/2023,PHONE,LOST MISSING RECOVERED ABDUCTD,N SH 6
12/2/2023,SELF,TRAFFIC STOP,S SOUTHWEST FWY
12/2/2023,PHONE,THEFT,N SOUTHWEST FWY
12/2/2023,SELF,TRAFFIC STOP,W AIRPORT BLVD
12/2/2023,SELF,TRAFFIC STOP,S SOUTHWEST FWY
12/2/2023,SELF,TRAFFIC STOP,S SH 6
12/2/2023,SELF,TRAFFIC STOP,W AIRPORT BLVD
12/2/2023,PHONE,LOST MISSING RECOVERED ABDUCTD,JAYMAR DR/SILVERLAKE DR
12/2/2023,SELF,ASSIST CITIZEN,W AIRPORT BLVD
12/2/2023,SELF,TRAFFIC STOP,W AIRPORT BLVD
12/2/2023,W911,911 HANG UP,KENSINGTON DR
12/2/2023,PHONE,ASSAULT,FLUOR DANIEL DR
12/2/2023,PHONE,WELFARE CONCERN,N SH 6
12/2/2023,PHONE,CIVIL PROBLEM STANDBY,S SH 6
12/2/2023,PHONE,DISTURBANCE,ELKINS RD
12/2/2023,SELF,TRAFFIC STOP,W AIRPORT BLVD
12/2/2023,PHONE,ANIMAL CONTROL PROBLEM,S SH 6
12/2/2023,W911,MINOR ACCIDENT,FIRST COLONY BLVD
12/2/2023,SELF,TRAFFIC STOP,NANTUCKET DR
12/2/2023,PHONE,PROPERTY LOST RECOVERED,LAKE POINTE PKWY
12/2/2023,PHONE,CRIMINAL MISCHIEF,SUGAR PARK LN
12/2/2023,W911,MINOR ACCIDENT,WALLINGFORD AVE/S SOUTHWEST FWY
12/2/2023,PHONE,SUSPICIOUS CIRC PERSON VEHICLE,GRANTS LAKE BLVD
12/2/2023,PHONE,ASSIST CITIZEN,N TOWN CENTER BLVD
12/2/2023,PHONE,911 HANG UP,CLANSMOOR CT
12/2/2023,W911,ASSIST CITIZEN,S SOUTHWEST FWY
12/2/2023,PHONE,CIVIL PROBLEM STANDBY,ADOBE TRAILS DR
12/2/2023,SELF,TRAFFIC STOP,W AIRPORT BLVD
12/2/2023,E911,911 HANG UP,S GRAND PKWY
12/2/2023,SELF,TRAFFIC STOP,SWEETWATER BLVD
12/2/2023,PHONE,WELFARE CONCERN,W AIRPORT BLVD
12/2/2023,SELF,TRAFFIC STOP,S SOUTHWEST FWY
12/2/2023,W911,MINOR ACCIDENT,N SH 6
12/2/2023,PHONE,ALARM BURGLAR,BRANFORD PL
12/2/2023,SELF,TRAFFIC STOP,N TOWN CENTER BLVD
12/2/2023,SELF,TRAFFIC STOP,S SH 6
12/2/2023,SELF,TRAFFIC STOP,GANNOWAY LAKE DR
12/2/2023,SELF,TRAFFIC STOP,FIRST COLONY BLVD
12/2/2023,SELF,TRAFFIC STOP,FIRST COLONY BLVD
12/2/2023,SELF,TRAFFIC STOP,N SH 6
12/2/2023,SELF,TRAFFIC STOP,FIRST COLONY BLVD
12/2/2023,SELF,TRAFFIC STOP,S SH 6
12/2/2023,PHONE,RECKLESS DRIVER CONDUCT,S SOUTHWEST FWY/E US 90A
12/2/2023,SELF,TRAFFIC STOP,N SOUTHWEST FWY
12/2/2023,SELF,TRAFFIC STOP,W US 90A
12/2/2023,SELF,TRAFFIC STOP,S SH 6
12/2/2023,PHONE,ASSIST CITIZEN,LAKESHORE DR
12/2/2023,PHONE,WELFARE CONCERN,S SH 6
12/2/2023,PHONE,ALARM BURGLAR,INDUSTRIAL BLVD
12/2/2023,W911,911 HANG UP,SUNSWEPT CT
12/2/2023,W911,THEFT,N TOWN CENTER BLVD
12/2/2023,SELF,PRISONER PROCESS,S SH 6
12/2/2023,SELF,TRAFFIC STOP,LEXINGTON BLVD
12/2/2023,SELF,FOLLOW UP,ARBORWOOD LN
12/2/2023,W911,911 HANG UP,ROSEHAVEN CT
12/2/2023,SELF,TRAFFIC STOP,LEXINGTON BLVD
12/2/2023,PHONE,SUSPICIOUS CIRC PERSON VEHICLE,N SOUTHWEST FWY
